Term,Frequency
natural,7
language,12
processing,3
nlp,5
is,3
a,12
subfield,1
of,16
linguistics,1
computer,2
science,1
and,10
artificial,1
intelligence,3
concerned,1
with,4
the,25
interactions,1
between,2
computers,2
human,3
in,18
particular,1
how,1
to,6
program,1
process,1
analyze,1
large,2
amounts,2
data,2
goal,1
capable,2
understanding,2
contents,1
documents,1
including,1
contextual,1
nuances,1
within,3
them,1
challenges,1
frequently,1
involve,1
speech,1
recognition,1
generation,1
history,2
generally,1
started,1
1950s,1
although,1
work,1
can,1
be,3
found,1
from,1
earlier,1
periods,1
1950,1
alan,1
turing,2
published,2
an,1
article,1
titled,1
computing,1
machinery,1
which,4
proposed,2
what,1
now,1
called,1
test,1
as,1
criterion,1
georgetown,1
experiment,1
1954,1
involved,1
fully,1
automatic,1
translation,6
more,1
than,1
sixty,1
russian,1
sentences,1
into,1
english,1
authors,1
claimed,1
that,2
three,1
or,2
five,1
years,2
machine,6
would,1
solved,1
problem,1
however,1
real,1
progress,1
was,5
much,2
slower,1
after,1
alpac,1
report,1
1966,2
concluded,1
research,2
had,3
ten,1
on,3
failed,1
fulfill,1
expectations,1
funding,1
for,2
dramatically,1
reduced,1
little,1
further,1
conducted,1
until,1
late,1
1980s,1
when,2
first,1
statistical,1
systems,4
were,2
developed,2
some,1
notably,1
successful,1
1960s,1
shrdlu,1
system,2
working,1
restricted,2
blocks,1
worlds,1
vocabularies,1
eliza,3
simulation,1
rogerian,1
psychotherapist,1
written,1
by,1
joseph,1
weizenbaum,1
1964,1
using,1
almost,1
no,1
information,1
about,2
thought,1
emotion,1
sometimes,1
provided,1
startlingly,1
like,1
interaction,2
patient,1
exceeded,1
very,1
small,1
knowledge,3
base,1
might,1
provide,1
generic,1
response,1
example,1
responding,1
my,1
head,2
hurts,2
why,1
do,1
you,1
say,1
your,1
during,1
1970s,1
many,2
programmers,1
began,1
write,1
based,1
model,4
world,1
specialized,1
2003,1
topic,1
lda,1
2010s,1
representation,1
learning,2
deep,1
neural,1
network,1
style,1
methods,1
became,2
widespread,1
google,1
deepmind,1
transformer,1
architecture,1
2017,1
pretrained,1
bert,1
2018,1
this,1
allowed,1
trained,1
larger,1
achieving,1
state,1
art,1
results,1
benchmarks,1
openai,1
released,1
gpt,1
3,1
2020,1
175,1
billion,1
parameters,1
performing,1
wide,1
variety,1
tasks,1
2023,1
chatgpt,1
fastest,1
growing,1
application,1
reaching,1
100,1
million,1
users,1
two,1
months,1
launch,1
